tf,bar_index,timestamp,direction,entry,target_1,stop_loss,rr,confidence,outcome
5m,220,2026-02-17T23:00:00+00:00,SHORT,67469.2,67261.55,67672.03,1.02,90.0,WIN
5m,225,2026-02-17T23:25:00+00:00,SHORT,67408.3,67161.53,67622.54,1.15,80.0,WIN
5m,241,2026-02-18T00:45:00+00:00,SHORT,67333.0,67139.44,67523.18,1.02,100.0,WIN
5m,244,2026-02-18T01:00:00+00:00,SHORT,67117.1,66780.72,67332.01,1.57,100.0,LOSS
5m,249,2026-02-18T01:25:00+00:00,SHORT,67020.8,66659.02,67240.59,1.65,90.0,LOSS
5m,312,2026-02-18T06:40:00+00:00,LONG,67877.9,68092.9,67701.7,1.22,80.0,LOSS
5m,324,2026-02-18T07:40:00+00:00,LONG,68034.9,68317.94,67851.55,1.54,90.0,WIN
5m,330,2026-02-18T08:10:00+00:00,LONG,68186.0,68545.18,67995.36,1.88,80.0,LOSS
5m,396,2026-02-18T13:40:00+00:00,SHORT,67258.6,66962.76,67496.98,1.24,100.0,WIN
5m,403,2026-02-18T14:15:00+00:00,SHORT,67110.3,66761.25,67374.7,1.32,80.0,WIN
5m,406,2026-02-18T14:30:00+00:00,SHORT,67032.5,66683.45,67316.77,1.23,90.0,WIN
5m,409,2026-02-18T14:45:00+00:00,SHORT,66745.0,66188.68,67117.8,1.49,100.0,LOSS
5m,425,2026-02-18T16:05:00+00:00,SHORT,67098.8,66066.86,67639.8,1.91,84.0,WIN
5m,428,2026-02-18T16:20:00+00:00,SHORT,67166.6,66134.66,67689.48,1.97,84.0,WIN
5m,444,2026-02-18T17:40:00+00:00,SHORT,67073.8,66750.77,67438.21,0.89,94.0,WIN
5m,451,2026-02-18T18:15:00+00:00,SHORT,66851.5,66467.47,67177.43,1.18,100.0,WIN
5m,454,2026-02-18T18:30:00+00:00,SHORT,66829.1,66300.77,67183.37,1.49,90.0,WIN
5m,457,2026-02-18T18:45:00+00:00,SHORT,66483.2,65747.97,66913.03,1.71,100.0,OPEN
5m,464,2026-02-18T19:20:00+00:00,SHORT,66230.1,65566.31,66655.59,1.56,90.0,OPEN
5m,467,2026-02-18T19:35:00+00:00,SHORT,65943.5,65092.14,66385.55,1.93,90.0,LOSS
5m,512,2026-02-18T23:20:00+00:00,SHORT,66272.4,66112.46,66479.37,0.77,84.0,LOSS
5m,552,2026-02-19T02:40:00+00:00,SHORT,66633.5,66365.91,66842.32,1.28,84.0,LOSS
5m,581,2026-02-19T05:05:00+00:00,SHORT,66716.1,66474.77,66890.19,1.39,84.0,LOSS
5m,584,2026-02-19T05:20:00+00:00,SHORT,66714.6,66473.27,66903.7,1.28,84.0,LOSS
5m,607,2026-02-19T07:15:00+00:00,LONG,67147.6,67506.47,66964.95,1.96,80.0,LOSS
5m,660,2026-02-19T11:40:00+00:00,SHORT,66636.6,66434.39,66806.88,1.19,100.0,WIN
5m,663,2026-02-19T11:55:00+00:00,SHORT,66468.9,66152.85,66656.34,1.69,100.0,WIN
5m,676,2026-02-19T13:00:00+00:00,SHORT,66405.7,66029.21,66615.16,1.8,90.0,WIN
5m,679,2026-02-19T13:15:00+00:00,SHORT,66194.4,65819.64,66442.04,1.51,100.0,WIN
5m,683,2026-02-19T13:35:00+00:00,SHORT,66067.4,65696.29,66328.72,1.42,90.0,WIN
5m,713,2026-02-19T16:05:00+00:00,SHORT,66119.5,65422.83,66625.49,1.38,84.0,LOSS
5m,733,2026-02-19T17:45:00+00:00,SHORT,66412.7,65773.26,66870.94,1.4,84.0,LOSS
5m,736,2026-02-19T18:00:00+00:00,SHORT,66247.5,65653.35,66699.47,1.31,84.0,LOSS
5m,771,2026-02-19T20:55:00+00:00,LONG,67118.7,67415.83,66815.84,0.98,80.0,LOSS
5m,810,2026-02-20T00:10:00+00:00,LONG,67159.1,67505.37,66960.74,1.75,90.0,OPEN
5m,813,2026-02-20T00:25:00+00:00,LONG,67352.7,67788.95,67115.11,1.84,90.0,LOSS
5m,822,2026-02-20T01:10:00+00:00,LONG,67302.0,67679.47,67102.09,1.89,80.0,LOSS
5m,848,2026-02-20T03:20:00+00:00,LONG,67353.5,67502.56,67200.51,0.97,90.0,LOSS
5m,851,2026-02-20T03:35:00+00:00,LONG,67441.5,67645.01,67279.98,1.26,90.0,LOSS
5m,873,2026-02-20T05:25:00+00:00,LONG,67380.0,67590.61,67227.89,1.38,90.0,WIN
5m,876,2026-02-20T05:40:00+00:00,LONG,67876.1,68401.83,67642.8,2.25,90.0,LOSS
5m,916,2026-02-20T09:00:00+00:00,LONG,68138.9,68432.02,67937.15,1.45,90.0,LOSS
5m,919,2026-02-20T09:15:00+00:00,LONG,68070.3,68363.42,67870.25,1.47,80.0,LOSS
5m,931,2026-02-20T10:15:00+00:00,LONG,68194.8,68532.04,68008.09,1.81,80.0,LOSS
1h,244,2026-01-20T04:00:00+00:00,SHORT,92026.2,91112.18,92810.67,1.17,100.0,WIN
1h,245,2026-01-20T05:00:00+00:00,SHORT,91590.1,90265.42,92433.76,1.57,100.0,WIN
1h,246,2026-01-20T06:00:00+00:00,SHORT,90894.5,89253.28,91803.69,1.81,100.0,WIN
1h,247,2026-01-20T07:00:00+00:00,SHORT,91136.1,89494.88,92044.53,1.81,100.0,WIN
1h,248,2026-01-20T08:00:00+00:00,SHORT,91078.9,89375.2,92008.13,1.83,90.0,WIN
1h,254,2026-01-20T14:00:00+00:00,SHORT,90496.7,88590.73,91435.15,2.03,90.0,WIN
1h,256,2026-01-20T16:00:00+00:00,SHORT,90131.9,87973.16,91204.52,2.01,90.0,WIN
1h,257,2026-01-20T17:00:00+00:00,SHORT,89739.6,87486.93,90890.38,1.96,90.0,WIN
1h,258,2026-01-20T18:00:00+00:00,SHORT,89471.6,87311.69,90622.29,1.88,90.0,WIN
1h,262,2026-01-20T22:00:00+00:00,SHORT,88469.0,85466.14,89757.45,2.33,100.0,LOSS
1h,263,2026-01-20T23:00:00+00:00,SHORT,88390.6,85515.11,89678.33,2.23,100.0,LOSS
1h,281,2026-01-21T17:00:00+00:00,SHORT,87897.0,85799.51,89516.09,1.3,80.0,LOSS
1h,301,2026-01-22T13:00:00+00:00,SHORT,89570.0,87791.64,90657.23,1.64,84.0,LOSS
1h,302,2026-01-22T14:00:00+00:00,SHORT,89055.0,87697.07,90164.83,1.22,94.0,LOSS
1h,303,2026-01-22T15:00:00+00:00,SHORT,88953.6,87789.66,90119.79,1.0,94.0,LOSS
1h,304,2026-01-22T16:00:00+00:00,SHORT,89006.9,87842.96,90175.63,1.0,94.0,LOSS
1h,320,2026-01-23T08:00:00+00:00,SHORT,89185.1,88045.57,90107.8,1.23,84.0,LOSS
1h,321,2026-01-23T09:00:00+00:00,SHORT,88939.9,87960.74,89868.12,1.05,84.0,LOSS
1h,322,2026-01-23T10:00:00+00:00,SHORT,89016.6,88037.44,89920.95,1.08,84.0,LOSS
1h,326,2026-01-23T14:00:00+00:00,SHORT,88976.0,88074.09,89910.47,0.97,84.0,LOSS
